R00,R01,R02,R10,R11,R12,R20,R21,R22,Tx,Ty,Tz,FocalLength
0.9999485622716247,-0.004549657151818346,0.009064956189185491,-0.004508193458918281,-0.999979307228972,-0.004589259809838044,0.009085648168838074,0.004548157172540924,-0.999948381299598,-12.743960910400544,0.03928514677550792,-3.5246804965722207,611.1549814728781
0.9999452099994988,-0.00481201184028911,0.009296318685779443,-0.004773682616783318,-0.9999800324458447,-0.004140853037947924,0.00931605889488014,0.004096248485697513,-0.9999482145566392,-12.59788082572221,0.04963969598171047,-3.448906076803595,611.1549814728781
0.9999449511945164,-0.004845762961296952,0.009306619252942303,-0.0048079995427505046,-0.9999801353373102,-0.004075790864588077,0.009326184696499677,0.004030820276056881,-0.9999483860514546,-12.454073790229954,0.056254027786520375,-3.369377319230103,611.1549814728781
0.9999461746517886,-0.004355908212227351,0.009416680036054401,-0.004318488422290472,-0.999982713272905,-0.003990465274339222,0.009433899352935579,0.003949584662444412,-0.9999476997943407,-12.304988196221373,0.06195089304495884,-3.281799745947015,611.1549814728781
0.9999488770420741,-0.0040877262264883375,0.009248448334312123,-0.004049257482727885,-0.9999830888500718,-0.004174389501216013,0.009265355693859435,0.004136726745455899,-0.9999485190127039,-12.147641050515157,0.06729784433343795,-3.191513773403463,611.1549814728781
0.9999510827991633,-0.003769773380377146,0.009144441887910077,-0.003733373801714549,-0.9999850535378012,-0.00399432360455121,0.009159362905652118,0.003959988593645631,-0.9999502110412803,-11.98845351503419,0.06570804319180479,-3.1030230147133295,611.1549814728781
0.9999528975843759,-0.003481767276232969,0.009059796313661687,-0.003444215639660134,-0.9999854275445392,-0.004157171778138458,0.009074138594842225,0.00412577207314993,-0.9999503177726192,-11.826691962026187,0.05975535248056792,-3.017026883662668,611.1549814728781
0.9999517207051649,-0.003518136951070389,0.009174909872786956,-0.003480693089345465,-0.9999855622973844,-0.004093894527417846,0.009189180289777377,0.004061761831687106,-0.9999495292545643,-11.673684303463112,0.05161738232389131,-2.930537598897186,611.1549814728781
0.9999531575471883,-0.003347127752630423,0.009081819598283254,-0.0033113025573396817,-0.9999866890640992,-0.003956888928773107,0.00909494292351229,0.00392663092592932,-0.9999509305874912,-11.52367364013077,0.040670081148570326,-2.8444945227694705,611.1549814728781
0.9999530119134077,-0.003088242468119339,0.009188945737284472,-0.0030519989208202952,-0.9999875189223202,-0.00395566709540912,0.009201047108452714,0.003927436573707478,-0.9999499567348696,-11.371749339074892,0.026106113240403676,-2.7659271560415735,611.1549814728781
0.9999550364338878,-0.003042608180512708,0.008981516907641648,-0.0030081320207470635,-0.9999880658505809,-0.0038495841541605893,0.00899312249711588,0.0038223934745245103,-0.999952255388165,-11.217942646534642,0.004020697320093957,-2.6925036379402183,611.1549814728781
0.9999548872959878,-0.0028663902997232735,0.00905578155203024,-0.0028320104162384285,-0.9999887431637998,-0.0038070017975084525,0.009066591965604054,0.0037811839856807528,-0.9999517486147997,-11.059184336729842,-0.020642870339038024,-2.6216431379030842,611.1549814728781
0.9999573296809052,-0.0028746574692059975,0.008779246087692684,-0.0028408242639761166,-0.9999885002666733,-0.003863813130943805,0.008790252267980346,0.0038387079654991782,-0.9999539968349649,-10.897951620142377,-0.04648365807636987,-2.5512716997580713,611.1549814728781
0.9999581711625631,-0.002639484312519794,0.00875722831642885,-0.002605560377981524,-0.9999890667357518,-0.0038829710373649564,0.008767381612476678,0.003859991130078788,-0.9999541156913836,-10.72820374553424,-0.06845950735009919,-2.4831384925501214,611.1549814728781
0.9999589100166053,-0.002379176148059684,0.008747445299007107,-0.0023463762409017125,-0.9999901858986894,-0.0037580080948578223,0.008756300413916233,0.0037373288805498386,-0.9999546787609427,-10.548378855912558,-0.08455492438847992,-2.419476409711255,611.1549814728781
0.9999597575966448,-0.0019034350397317639,0.008766990493267282,-0.001871754734039248,-0.9999916946635986,-0.0036203781625583336,0.008773808835113698,0.003603822813881717,-0.9999550153580165,-10.363554479773176,-0.0918815350723613,-2.364300128820947,611.1549814728781
0.9999608245887515,-0.0021307443147405188,0.008591229041843519,-0.002100048277837555,-0.9999913852648947,-0.0035803900943889317,0.008598783926519268,0.003562207835380471,-0.9999566848570605,-10.185324226144292,-0.08359896845895814,-2.3192756070726985,611.1549814728781
0.9999607903681329,-0.001946190818895162,0.008638869580888836,-0.0019157267784693632,-0.999991922973711,-0.00353326736181514,0.00864567621701239,0.003516579109910988,-0.9999564420284088,-10.013077130310393,-0.06142500253372941,-2.280240057311356,611.1549814728781
0.9999624594935548,-0.0019669379043953175,0.008438646744678006,-0.0019364900468253122,-0.999991591580294,-0.003614799442445256,0.008445685875034562,0.003598322385613875,-0.9999578603451794,-9.846366219462746,-0.029189801153923018,-2.2462798006761644,611.1549814728781
0.9999645676604256,-0.001715392504855208,0.008241410816868695,-0.0016848851433049808,-0.9999917087547592,-0.0037072339811395905,0.008247701846695474,0.0036932167945210584,-0.9999591669483092,-9.674670730060933,-0.0012527317129757516,-2.2183070275474526,611.1549814728781
0.9999644881437635,-0.001881458189003993,0.008214777322877289,-0.0018514234126590435,-0.9999915799920125,-0.003662263838880909,0.008221598550676567,0.0036469247540283365,-0.9999595518105271,-9.503961330686522,0.022347464854188936,-2.1975526894095183,611.1549814728781
0.999963603937265,-0.001960416189356616,0.008303467297547384,-0.0019332885010079105,-0.9999927722916464,-0.0032737990224679394,0.008309825291111775,0.003257626871228326,-0.9999601665420474,-9.333625439333446,0.05128607222238393,-2.1741077479561377,611.1549814728781
